Parent_ID,Sum,Area,Percent,Species
BSLE_0001,223048.93,7987.56,3.6,AlphaGP
BSLE_0001,223048.93,6399.96,2.9,DNA
BSLE_0001,223048.93,1014.38,0.5,G6P
BSLE_0001,223048.93,157522.05,70.6,Ortho
BSLE_0001,223048.93,21666.98,9.7,Pyro
BSLE_0001,223048.93,31499.92,14.1,RNA
BSLE_0002,19355.35,113.74,0.6,AlphaGP
BSLE_0002,19355.35,327.42,1.7,BetaGP
BSLE_0002,19355.35,17207.27,88.9,Ortho
BSLE_0002,19355.35,1583.87,8.2,Pyro
BSLE_0002,19355.35,123.05,0.6,RNA
BSLE_0003,9822.52,489.33,5.0,AlphaGP
BSLE_0003,9822.52,233.61,2.4,DNA
BSLE_0003,9822.52,141.03,1.4,G6P
BSLE_0003,9822.52,1337.36,13.6,Phytate
BSLE_0003,9822.52,5477.8,55.8,Ortho
BSLE_0003,9822.52,1881.28,19.2,Pyro
BSLE_0003,9822.52,772.63,7.9,RNA
BSLE_0004,14702.53,577.47,3.9,AlphaGP
BSLE_0004,14702.53,134.51,0.9,BetaGP
BSLE_0004,14702.53,362.44,2.5,G6P
BSLE_0004,14702.53,576.9,3.9,Phytate
BSLE_0004,14702.53,8214.4,55.9,Ortho
BSLE_0004,14702.53,3754.5,25.5,Pyro
BSLE_0004,14702.53,994.82,6.8,RNA
BSLE_0005,63781.53,3726.37,5.8,AlphaGP
BSLE_0005,63781.53,1005.26,1.6,G6P
BSLE_0005,63781.53,3459.48,5.4,Phytate
BSLE_0005,63781.53,42490.21,66.6,Ortho
BSLE_0005,63781.53,10010.65,15.7,Pyro
BSLE_0005,63781.53,4611.22,7.2,RNA
BSLE_0005,63781.53,369.93,0.6,Unknown Monoester
BSLE_0005,63781.53,244.82,0.4,Unknown Monoester
BSLE_0006,155008.49,632.84,0.4,AlphaGP
BSLE_0006,155008.49,3797.2,2.4,BetaGP
BSLE_0006,155008.49,3690.97,2.4,G6P
BSLE_0006,155008.49,6627.11,4.3,Phytate
BSLE_0006,155008.49,96925.22,62.5,Ortho
BSLE_0006,155008.49,34009.65,21.9,Pyro
BSLE_0006,155008.49,1044.12,0.7,Unknown Monoester
BSLE_0006,155008.49,1046.33,0.7,Unknown Monoester
BSLE_0006,155008.49,5805.55,3.7,Unknown Monoester
BSLE_0006,155008.49,871.85,0.6,Unknown Monoester
BSLE_0007,19386.62,698.81,3.6,AlphaGP
BSLE_0007,19386.62,376.51,1.9,DNA
BSLE_0007,19386.62,116.29,0.6,G6P
BSLE_0007,19386.62,649.94,3.4,Phytate
BSLE_0007,19386.62,13293.91,68.6,Ortho
