Column_or_Row_Name,Unit,Definition,Data_Type
Area,N/A,Total signal area of phosphorus nuclear magnetic resonance experiments.,numeric
BSLE_0002-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0002-solid.,numeric
BSLE_0007-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0007-solid.,numeric
BSLE_0011-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0011-solid.,numeric
BSLE_0013-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0013-solid.,numeric
BSLE_0014-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0014-solid.,numeric
BSLE_0050-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0050-solid.,numeric
BSLE_0072-solid_P-XANES.xmu.nor,electronvolt,Background subtracted and normalized phosphorus X-ray absorption near edge structure spectra for sample BSLE_0072-solid.,numeric
Column_or_Row_Name,N/A,Column or row headers from each tabular file (comma-separated values (.csv) or tab-separated values (.tsv)) in the dataset.,text
Compound_Name,N/A,Name of known compound spiked into phosphorus nuclear magnetic resonance experiments.,text
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text
Definition,N/A,Description of the information in a given column or row in the dataset.,text
Degradation_Corrected,N/A,Indicates if the row has degradation corrected percentages for the phosphours nuclear magnetci resonance experiments.,text
Di,Percent,Relative percent of diester species in phosphorus nuclear magenetic resonance experiments.,numeric
File_Description,N/A,A brief description of the files in the data package.,text
File_Name,N/A,Name of files in the data package.,text
File_Name,N/A,Name of files in the data package.,text
File_Path,N/A,File path within the data package.,text
LCF_R_Factor,N/A,R Factor goodness of fit metric for phosphorus X-ray absorption near edge structure linear combination fits.,numeric
LCF_Sum,Percent,Phosphorus X-ray absorption near edge structure sum of components in linear combination fits.,numeric
Missing_Value_Codes,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. The recommendation for numeric data is ""-9999"" and for character data is ""N/A"".",text
Mono,Percent,Relative percent of monoester species in phosphorus nuclear magenetic resonance experiments.,numeric
Normalization_Range_End,electronvolt,Energy the normalization range ended for phosphorus X-ray absorption near edge structure.,numeric
Normalization_Range_Start,electronvolt,Energy the normalization range started for phosphorus X-ray absorption near edge structure.,numeric
Notes,N/A,Free text notes.,text
Ortho,Percent,Relative percent of orthophosphate in phosphorus nuclear magenetic resonance experiments. Identified by deconvolution in Mnova.,numeric
Parent_ID,N/A,The ID associated with the entire kit of supplies and data used by the collaborator to collect data.,text
Percent,Percent,Relative percent from the phosphours nuclear magnetic resonance experiment.,numeric
Pi_Al_GibbSorb_std,Percent,Relative percent of the Pi_Al_GibbSorb reference compound in the sample. Identified by linear combination fitting of the phosphours X-ray absorption near edge structure data. See P-XANES_RefCmpd_Table.pdf in Grieger et al. (2022) for details on reference compound.,numeric
