Wavelength (nm)	Dilution Corrected Absorbance
230	2.666375
233	2.424675
236	2.219836
239	2.029357
242	1.885908
245	1.759523
248	1.663653
251	1.581689
254	1.523488
257	1.481044
260	1.460421
263	1.461235
266	1.480316
269	1.507564
272	1.535403
275	1.555455
278	1.560848
281	1.543093
284	1.473086
287	1.447108
290	1.38325
293	1.32328
296	1.268252
299	1.217754
302	1.17527
305	1.140226
308	1.111915
311	1.087666
314	1.064001
317	1.0396
320	1.009614
323	0.9704692
326	0.9236313
329	0.8714498
332	0.8136338
335	0.7536312
338	0.6916941
341	0.628019
344	0.5671195
347	0.5095595
350	0.4573536
353	0.4081254
356	0.3635886
359	0.3266443
362	0.2924974
365	0.2628714
368	0.2381646
371	0.2156922
374	0.1961557
377	0.1803412
380	0.1664389
383	0.1547462
386	0.1431014
389	0.1318527
392	0.1223876
395	0.1132647
398	0.1061215
401	0.09887193
404	0.09243038
407	0.08672418
410	0.08187322
413	0.07636634
416	0.07282058
419	0.06950901
422	0.06608125
425	0.06288782
428	0.05947354
431	0.05607331
434	0.05274793
437	0.04985451
440	0.04782035
443	0.04642746
446	0.04470615
449	0.04354278
452	0.04232039
455	0.04008946
458	0.03818446
461	0.03629608
464	0.03485923
467	0.0332093
470	0.03231373
473	0.03127833
476	0.03030856
479	0.02921632
482	0.02772483
485	0.02705668
488	0.02571137
491	0.02459127
494	0.0236357
497	0.02329516
500	0.02232408
503	0.02108535
506	0.01995361
509	0.01890331
512	0.01835746
515	0.01790765
518	0.01655409
521	0.01610608
524	0.01549472
527	0.01501545
530	0.0136867
533	0.01309824
536	0.01231174
539	0.01144965
542	0.0112695
545	0.01080934
548	0.009702627
551	0.009420815
554	0.00844355
557	0.008381492
560	0.007296802
563	0.007485989
566	0.007021491
569	0.006235452
572	0.005968758
575	0.00572525
578	0.005170969
581	0.004450369
584	0.004117726
587	0.003527661
590	0.003318188
593	0.002734252
596	0.001868761
599	0.001740774
602	0.001221679
605	0.0009511642
608	0.0005866073
611	0.0007042771
614	0.0002986601
617	-0.0002412457
620	0.0003332756
623	-0.0001710778
626	3.107504e-06
629	-0.0002252221
632	-0.0001477877
635	-0.0007248975
638	-0.001072913
641	-0.001250205
644	-0.001882094
647	-0.001860641
650	-0.002299178
653	-0.001882591
656	-0.00295798
659	-0.003618604
662	-0.003478326
665	-0.004014048
668	-0.004634558
671	-0.004886086
674	-0.004900331
677	-0.005212349
680	-0.00535238
683	-0.006320062
686	-0.006029172
689	-0.00560779
692	-0.006576523
695	-0.006686605
698	-0.007174634
701	-0.008476147
704	-0.009934316
707	-0.01038794
710	-0.01112691
713	-0.01008223
716	-0.009306392
719	-0.009186486
722	-0.01092145
725	-0.01250658
728	-0.01451465
731	-0.01702761
734	-0.01946811
737	-0.02115399
740	-0.02190825
743	-0.02180971
746	-0.02142073
749	-0.02043202
752	-0.01981019
755	-0.01836843
758	-0.01707108
761	-0.01662233
764	-0.01566079
767	-0.0140986
770	-0.0124743
773	-0.01269653
776	-0.01196661
779	-0.01113495
782	-0.01103089
785	-0.01046287
788	-0.008763602
791	-0.009637608
794	-0.007888106
797	-0.0081062
800	-0.007465323
