File_Name,Pre_Edge_Range_Start,Pre_Edge_Range_End,Normalization_Range_Start,Normalization_Range_End
Pi_Al_GibbSorb_std.xmu,-15.4,-7,25,45.6
Pi_Al_Precip_std.xmu,-20.4,-5,30,63.6
Pi_Al_std.xmu,-15.4,-8,32,70.6
Pi_Apatite_CaDefHydroxy_std.xmu,-20.4,-5,32,75.6
Pi_Apatite_Carbonate_std.xmu,-15.4,-8,25,58.6
Pi_Apatite_Fluor_std.xmu,-15.4,-6,30,60.6
Pi_Apatite_Hydroxy_std.xmu,-13.4,-6,26,55.6
Pi_Apatite_Natural_std.xmu,-20.4,-6,35,45.6
Pi_Ca_Dibasic_std.xmu,-15.4,-6,30,50.6
Pi_Ca_Mono_std.xmu,-23.4,-5,28,58.6
Pi_Ca_Octa_std.xmu,-15.4,-5,30,53.6
Pi_Ca_Precip_std.xmu,-18.4,-5,28,50.6
Pi_Ca_Pyro_std.xmu,-18.4,-5,35,65.6
Pi_Ca_Tri_std.xmu,-18.4,-5,30,69.6
Pi_Fe_FerriSorb_2_std.xmu,-25.4,-6,27,65.6
Pi_Fe_FerriSorb_std.xmu,-23.4,-6,30,60.6
Pi_Fe_GoethSorb_2_std.xmu,-25.4,-8,24,51.6
Pi_Fe_GoethSorb_std.xmu,-20.4,-8,30,55.6
Pi_Fe_Precip_std.xmu,-23.4,-6,30,63.6
Pi_Fe_Pyro_std.xmu,-20.4,-8,25,75.6
Pi_Fe_std.xmu,-15.4,-6,27,45.6
Pi_K_Di_std.xmu,-23.4,-5,32,60.6
Pi_K_Pyro_std.xmu,-23.4,-5,28,60.6
Pi_Mg_Di_std.xmu,-23.4,-5,30,65.6
Pi_Mg_Pyro_std.xmu,-18.4,-5,28,73.6
Pi_Mg_Tri_std.xmu,-23.4,-5,28,58.6
Pi_Na_Di_std.xmu,-18.4,-8,25,65.6
Pi_Na_Mono_std.xmu,-10.4,-5,25,53.6
Pi_Na_Pyro_std.xmu,-20.4,-8,30,67.6
Pi_Na_Tri_std.xmu,-20.4,-8,26,59.6
Pi_NH4_Di_std.xmu,-18.4,-5,34,65.6
Pi_NH4_Mg_std.xmu,-15.4,-5,32,75.6
Pi_NH4_Mono_std.xmu,-20.4,-8,30,58.6
Po_Al_DNA_GibbSorb_2_std.xmu,-23.4,-5,28,63.6
Po_Al_DNA_GibbSorb_std.xmu,-23.4,-5,30,53.6
Po_Al_PA_GibbSorb_std.xmu,-25.4,-8,29,55.6
Po_Al_PA_Precip_std.xmu,-13.4,-6,28,45.6
Po_Ca_Lecithin_std.xmu,-23.4,-5,28,58.6
Po_Ca_PA_std.xmu,-15.4,-8,30,70.6
Po_Fe_DNA_FerriSorb_std.xmu,-15.4,-6,27,50.6
Po_Fe_DNA_GoethSorb_std.xmu,-8.4,-6,24,65.6
Po_Fe_PA_FerriSorb_2_std.xmu,-20.4,-6,28,60.6
Po_Fe_PA_FerriSorb_std.xmu,-20.4,-6,30,66.6
Po_Fe_PA_GoethSorb_std.xmu,-15.4,-5,26,47.6
Po_Fe_PA_Precip_std.xmu,-14.4,-8,28,55.6
Po_Na_AMP_std.xmu,-15.4,-5,26,63.6
Po_Na_ATP_std.xmu,-23.4,-5,28,60.6
Po_Na_DNA_std.xmu,-18.4,-4,28,45.6
Po_Na_PA_std.xmu,-15.4,-8,28,48.6
