File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v3_readme_BSLE.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/v3_BSLE_Data_Package
v3_BSLE_dd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/v3_BSLE_Data_Package
v3_BSLE_flmd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A,/v3_BSLE_Data_Package
BSLE_VideoMetadata.csv,Metadata and comments about the open-air burn table burn. The information in this file corresponds to the videos within the same folder.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-02-20, 2022-07-12,N/A,/v3_BSLE_Data_Package
BSLE_Burn*_BurnTableVideo_Part*.mp4,Video of the open-air burn table burn. The first asterisks (*) corresponds to the burn number. The second asterisks (*) indicates the part number as some videos had more than one part that were broken up automatically by the GoPro camera. ,N/A, 2021-02-20, 2022-07-12,N/A,/v3_BSLE_Data_Package
BLSE_IGSN-Mapping.csv,File that maps between leachate sample names and registered International Generic Sample Numbers (IGSNs). Includes metadata required by ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020). Some fields are repeated from the field metadata. Parent_IGSN is the IGSN for each solid char from which each leachate replicate was subsampled. ,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020), 2021-02-20, 2022-07-12,N/A; -9999,/v3_BSLE_Data_Package/v1_BSLE_Metadata_and_Protocols
BSLE_Burn_and_Laboratory_Metadata.csv,Metadata associated with muffle furnace; open-air burn table; and laboratory treatments. ,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-02-20, 2022-07-12,N/A; -9999,/v3_BSLE_Data_Package/v1_BSLE_Metadata_and_Protocols
BSLE_Burn_Protocol.pdf,Step-by-step instructions used to complete muffle furnace and open-air burn table treatments.,N/A,-9999,-9999,N/A,/v3_BSLE_Data_Package/v1_BSLE_Metadata_and_Protocols
BSLE_Laboratory_Protocol.pdf,Step-by-step instructions used to complete preparation of the char and leachate samples in the laboratory.,N/A,-9999,-9999,N/A,/v3_BSLE_Data_Package/v1_BSLE_Metadata_and_Protocols
BSLE_Vegetation_Collection_Metadata.csv,Metadata associated with the vegetation collection.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-02-20, 2022-07-12,N/A; -9999,/v3_BSLE_Data_Package/v1_BSLE_Metadata_and_Protocols
