#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between leachate and solid char sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the metadata files and this file. Each leachate has a Parent_IGSN which is the IGSN registered for each solid char from which each leachate replicate was subsampled. ,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Sample_Description,Collection_Method,Size,Size_Unit,Collector_Chief_Scientist,Collection_Date,Current_Archive,Current_Archive_Contact
BSLE_0001,IEPRS005D,N/A,Organic Material,douglas-fir; dry; living; burn table; end char; low severity; 589 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0001A,IEPRS0001,IEPRS005D,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dry living; burn table; end char; low severity; 589  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0001B,IEPRS0002,IEPRS005D,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dry living; burn table; end char; low severity; 589  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0001C,IEPRS0003,IEPRS005D,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dry living; burn table; end char; low severity; 589  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0002,IEPRS005E,N/A,Organic Material,douglas-fir; dead; wet; burn table; end char; moderate severity; 756.6 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0002A,IEPRS0004,IEPRS005E,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; end char; moderate severity; 756.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0002B,IEPRS0005,IEPRS005E,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; end char; moderate severity; 756.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-27,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0002C,IEPRS0006,IEPRS005E,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; burn table; end char; moderate severity; 756.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-28,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0003,IEPRS005F,N/A,Organic Material,douglas-fir; dead; wet; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-13,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0003A,IEPRS0007,IEPRS005F,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir dead wet; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2021-10-26,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
